,r,g,b,c,dmx_ch_1,dmx_ch_2,dmx_ch_3
1594485123.8806677,0,0,0,0,0,0,0
1594485123.9545374,1,11,46,59,0,0,10
1594485124.0286083,1,21,87,110,0,0,20
1594485124.101713,2,32,134,170,0,0,30
1594485124.176557,2,38,161,205,0,0,40
1594485124.2514956,3,45,191,243,0,0,50
1594485124.3256445,3,53,226,287,0,0,60
1594485124.3997242,4,62,265,337,0,0,70
1594485124.4744365,4,74,318,404,0,0,80
1594485124.5485532,5,87,372,472,0,0,90
1594485124.6225333,6,103,440,559,0,0,100
1594485124.6955023,7,121,516,655,0,0,110
1594485124.7694108,8,142,606,769,0,0,120
1594485124.8425457,10,167,714,906,0,0,130
1594485124.9162214,12,196,840,1066,0,0,140
1594485124.9896185,14,231,988,1254,0,0,150
1594485125.0635188,16,272,1162,1475,0,0,160
1594485125.1375842,19,320,1367,1735,0,0,170
1594485125.2116318,22,376,1605,2037,0,0,180
1594485125.2846134,26,442,1887,2396,0,0,190
1594485125.359157,31,520,2216,2814,0,0,200
1594485125.4346106,36,610,2601,3302,0,0,210
1594485125.5095446,43,717,3051,3875,0,0,220
1594485125.5833666,50,842,3580,4547,0,0,230
1594485125.6584926,59,989,4199,5334,0,0,240
1594485125.7336252,69,1161,4919,6250,0,0,250
1594485125.8085353,75,1259,5331,6775,0,0,255
1594485125.8825524,3,24,8,36,0,10,0
1594485125.9565597,3,34,54,94,0,10,10
1594485126.0309155,4,44,95,147,0,10,20
1594485126.1034908,5,55,142,206,0,10,30
1594485126.1784651,5,61,170,241,0,10,40
1594485126.2525275,6,68,199,278,0,10,50
1594485126.3275363,6,77,235,324,0,10,60
1594485126.4015255,7,86,274,373,0,10,70
1594485126.4754498,7,98,326,439,0,10,80
1594485126.548526,8,110,380,507,0,10,90
1594485126.6234527,9,126,448,595,0,10,100
1594485126.6964602,10,144,524,690,0,10,110
1594485126.771502,11,165,614,805,0,10,120
1594485126.8455415,13,190,721,941,0,10,130
1594485126.9201298,15,220,847,1101,0,10,140
1594485126.99355,17,255,996,1290,0,10,150
1594485127.0684679,19,295,1170,1510,0,10,160
1594485127.142216,22,344,1376,1772,0,10,170
1594485127.2175138,25,399,1613,2072,0,10,180
1594485127.2905004,29,465,1894,2430,0,10,190
1594485127.3651013,34,543,2224,2849,0,10,200
1594485127.439508,39,634,2609,3338,0,10,210
1594485127.5144734,45,740,3058,3909,0,10,220
1594485127.5882392,53,865,3586,4580,0,10,230
1594485127.6615136,62,1012,4204,5367,0,10,240
1594485127.736625,72,1184,4927,6286,0,10,250
1594485127.8105414,78,1282,5337,6809,0,10,255
1594485127.8844795,6,46,17,72,0,20,0
1594485127.9575105,6,57,63,130,0,20,10
1594485128.0310829,7,67,105,183,0,20,20
1594485128.1055589,7,78,152,243,0,20,30
1594485128.1796062,8,84,180,278,0,20,40
1594485128.252554,8,91,207,313,0,20,50
1594485128.3264365,9,99,243,358,0,20,60
1594485128.399527,9,109,283,410,0,20,70
1594485128.473565,10,120,333,473,0,20,80
1594485128.5474832,11,133,387,542,0,20,90
1594485128.6222677,12,150,458,632,0,20,100
1594485128.6955118,13,167,531,725,0,20,110
1594485128.768583,14,188,623,840,0,20,120
1594485128.8424993,15,213,730,977,0,20,130
1594485128.9156358,17,243,856,1137,0,20,140
1594485128.990316,19,278,1006,1328,0,20,150
1594485129.0634513,22,318,1177,1544,0,20,160
1594485129.1380897,24,365,1383,1805,0,20,170
1594485129.2124002,28,422,1622,2109,0,20,180
1594485129.2863972,32,488,1901,2464,0,20,190
1594485129.3614945,36,566,2233,2886,0,20,200
1594485129.4364648,42,657,2617,3373,0,20,210
1594485129.5103822,48,763,3067,3946,0,20,220
1594485129.5849712,55,887,3592,4613,0,20,230
1594485129.659036,64,1035,4212,5401,0,20,240
1594485129.7330868,74,1207,4936,6322,0,20,250
1594485129.8070672,80,1305,5345,6843,0,20,255
1594485129.8821473,8,65,25,102,0,30,0
