,r,g,b,c,dmx_ch_1
1594485013.4235013,0,0,0,0,0
1594485013.498283,0,1,4,5,1
1594485013.573444,0,2,6,8,2
1594485013.6471438,0,3,10,13,3
1594485013.7202275,0,4,14,18,4
1594485013.7942667,0,5,19,24,5
1594485013.8693886,0,6,24,31,6
1594485013.943262,0,7,30,38,7
1594485014.0163121,0,9,36,45,8
1594485014.0903099,1,10,42,54,9
1594485014.1642737,1,11,46,59,10
1594485014.2382631,1,11,46,59,11
1594485014.3123214,1,13,53,67,12
1594485014.3862467,1,14,59,75,13
1594485014.460145,1,15,64,82,14
1594485014.53368,1,15,64,82,15
1594485014.607266,1,17,70,89,16
1594485014.682279,1,18,76,97,17
1594485014.7562578,1,20,83,105,18
1594485014.829327,1,20,82,105,19
1594485014.903281,1,21,87,110,20
1594485014.978285,1,22,93,118,21
1594485015.0521965,1,24,100,127,22
1594485015.1250036,1,24,101,128,23
1594485015.200343,1,25,104,132,24
1594485015.2733083,1,26,110,140,25
1594485015.346953,2,28,117,148,26
1594485015.4202259,2,28,119,151,27
1594485015.4942427,2,29,121,154,28
1594485015.568304,2,30,127,162,29
1594485015.6423156,2,32,134,170,30
1594485015.7162611,2,32,137,174,31
1594485015.7900221,2,33,140,178,32
1594485015.8642132,2,34,143,182,33
1594485015.9372938,2,35,147,187,34
1594485016.012022,2,36,151,191,35
1594485016.0873506,2,36,155,196,36
1594485016.1612556,2,36,155,197,37
1594485016.2340648,2,36,155,197,38
1594485016.308261,2,37,158,200,39
1594485016.381255,2,38,162,205,40
1594485016.455108,2,39,165,210,41
1594485016.5282714,2,40,170,215,42
1594485016.6021545,2,41,173,220,43
1594485016.6770024,2,41,173,220,44
1594485016.7496438,2,41,174,221,45
1594485016.8232524,2,42,178,226,46
1594485016.896078,3,43,183,232,47
1594485016.9701796,3,44,187,238,48
1594485017.0432544,3,45,191,243,49
1594485017.118219,3,45,191,243,50
1594485017.1914177,3,45,193,245,51
1594485017.2652662,3,46,198,251,52
1594485017.3382916,3,48,203,257,53
1594485017.4122643,3,49,208,264,54
1594485017.4862094,3,49,209,266,55
1594485017.5595076,3,49,210,266,56
1594485017.6332223,3,50,215,273,57
1594485017.7062101,3,52,220,279,58
1594485017.779905,3,53,225,286,59
1594485017.8542755,3,53,227,289,60
1594485017.9282343,3,54,228,290,61
1594485018.0009048,3,55,234,297,62
1594485018.074949,3,56,239,304,63
1594485018.1490443,3,58,245,311,64
1594485018.2231774,3,58,245,311,65
1594485018.2982903,3,58,249,316,66
1594485018.3732522,4,60,255,324,67
1594485018.4462593,4,61,261,332,68
1594485018.521264,4,62,263,334,69
1594485018.595215,4,62,266,337,70
1594485018.6691928,4,64,272,345,71
1594485018.74231,4,65,279,354,72
1594485018.816227,4,66,281,357,73
1594485018.8901858,4,67,284,361,74
1594485018.9642682,4,68,291,369,75
1594485019.0382185,4,70,298,378,76
1594485019.1111462,4,70,299,380,77
1594485019.1852925,4,71,304,386,78
1594485019.2592394,4,73,311,395,79
1594485019.333297,4,75,318,403,80
1594485019.4072475,4,75,319,405,81
1594485019.481198,4,76,326,414,82
1594485019.5540392,5,78,335,425,83
1594485019.6272793,5,79,336,426,84
1594485019.7011917,5,80,342,434,85
1594485019.7742927,5,82,350,445,86
1594485019.8481312,5,83,354,449,87
1594485019.9212563,5,84,358,455,88
1594485019.9949555,5,86,368,467,89
1594485020.068252,5,87,372,472,90
1594485020.1422405,5,88,377,479,91
1594485020.2169182,5,91,387,491,92
1594485020.2912056,5,91,390,495,93
1594485020.3641899,5,93,397,504,94
1594485020.4372416,6,95,407,516,95
1594485020.5112872,6,96,408,518,96
1594485020.5845642,6,98,418,530,97
1594485020.6578708,6,100,426,540,98
1594485020.7322938,6,101,430,546,99
1594485020.8061962,6,103,438,556,100
1594485020.879111,6,104,444,563,101
1594485020.9533215,6,106,453,575,102
1594485021.0273707,6,108,461,586,103
1594485021.1010811,6,109,467,593,104
1594485021.1741936,7,112,478,607,105
1594485021.2472522,7,112,480,609,106
1594485021.3212092,7,116,493,626,107
1594485021.3946419,7,117,498,632,108
1594485021.4682107,7,119,509,646,109
1594485021.5422642,7,121,515,654,110
1594485021.6162312,7,123,525,666,111
1594485021.6901414,7,124,531,675,112
1594485021.764245,8,127,542,688,113
1594485021.8392408,8,129,551,700,114
1594485021.9132118,8,131,560,711,115
1594485021.987252,8,133,569,723,116
1594485022.0611808,8,136,579,735,117
1594485022.1352906,8,137,586,744,118
1594485022.2098966,8,140,599,760,119
1594485022.2842467,8,142,606,769,120
1594485022.357233,9,145,619,786,121
1594485022.4310386,9,147,626,795,122
1594485022.5052226,9,150,640,813,123
1594485022.5782573,9,151,646,820,124
1594485022.6522112,9,154,659,836,125
1594485022.7262015,9,157,671,852,126
1594485022.800563,9,159,679,862,127
1594485022.8741958,10,163,694,881,128
1594485022.9482207,10,165,704,893,129
1594485023.0221639,10,166,711,902,130
1594485023.0951908,10,171,729,925,131
1594485023.168237,10,173,738,937,132
1594485023.2421846,10,175,749,951,133
1594485023.3171952,11,179,765,972,134
1594485023.3900054,11,182,776,985,135
1594485023.4641488,11,184,784,995,136
1594485023.5382288,11,188,802,1018,137
1594485023.6122491,11,191,816,1036,138
1594485023.6851707,11,194,827,1049,139
1594485023.7589197,12,197,839,1065,140
1594485023.8342004,12,200,856,1086,141
1594485023.908538,12,204,869,1104,142
1594485023.9819217,12,207,883,1121,143
1594485024.056168,12,210,896,1137,144
1594485024.1302001,13,213,910,1155,145
1594485024.204543,13,217,927,1177,146
1594485024.2791884,13,221,944,1198,147
1594485024.3531797,13,224,957,1215,148
1594485024.4272695,14,228,972,1234,149
1594485024.5002236,14,232,988,1255,150
1594485024.573189,14,235,1004,1274,151
1594485024.6482847,14,239,1020,1294,152
1594485024.7223585,14,243,1036,1315,153
1594485024.7952435,15,246,1052,1335,154
1594485024.8681839,15,250,1069,1357,155
1594485024.942234,15,255,1089,1382,156
1594485025.0155587,15,259,1106,1404,157
1594485025.0882301,16,263,1124,1427,158
1594485025.1621854,16,268,1142,1450,159
1594485025.2362068,16,271,1158,1470,160
1594485025.309299,16,276,1179,1497,161
1594485025.3821783,17,281,1199,1522,162
1594485025.4561312,17,286,1220,1548,163
1594485025.5299523,17,291,1240,1575,164
1594485025.603151,18,296,1261,1601,165
1594485025.6781065,18,300,1279,1624,166
1594485025.7519352,18,305,1301,1651,167
1594485025.825558,18,310,1321,1678,168
1594485025.8981462,19,315,1343,1705,169
1594485025.9722147,19,320,1367,1735,170
1594485026.0461879,19,325,1388,1762,171
1594485026.1192153,20,330,1408,1788,172
1594485026.1922266,20,336,1433,1820,173
1594485026.2661412,20,342,1457,1850,174
1594485026.3402326,21,347,1480,1879,175
1594485026.414165,21,353,1504,1910,176
1594485026.4882066,21,358,1529,1941,177
1594485026.5621316,22,364,1551,1969,178
1594485026.636164,22,370,1579,2005,179
1594485026.7091455,22,376,1604,2037,180
1594485026.7831464,23,383,1631,2071,181
