,r,g,b,c,dmx_ch_1
1594484993.4924297,0,0,0,0,0
1594484993.5668368,0,3,1,4,1
1594484993.6394458,1,5,1,7,2
1594484993.7144334,1,7,2,10,3
1594484993.7884078,1,9,3,14,4
1594484993.8611233,2,12,4,18,5
1594484993.934395,2,15,5,23,6
1594484994.0084443,2,18,6,27,7
1594484994.0825891,3,21,7,32,8
1594484994.1544938,3,24,8,36,9
1594484994.2284412,3,24,8,36,10
1594484994.3034904,3,26,9,41,11
1594484994.3775392,4,30,11,46,12
1594484994.4494817,4,32,12,50,13
1594484994.523521,4,32,12,50,14
1594484994.597491,4,35,13,54,15
1594484994.67042,5,38,14,59,16
1594484994.7455754,5,40,15,63,17
1594484994.819589,5,40,15,63,18
1594484994.8934433,5,43,16,67,19
1594484994.9661667,6,46,17,72,20
1594484995.0415118,6,49,18,76,21
1594484995.1154253,6,49,18,76,22
1594484995.1894162,6,51,19,80,23
1594484995.2614589,7,55,21,85,24
1594484995.3354466,7,57,22,89,25
1594484995.4094386,7,57,22,89,26
1594484995.4842896,7,60,23,93,27
1594484995.556447,8,63,24,98,28
1594484995.631208,8,66,25,103,29
1594484995.7054584,8,65,25,102,30
1594484995.7783983,8,68,26,106,31
1594484995.8524344,9,72,28,113,32
1594484995.9274652,9,74,28,116,33
1594484996.0014606,9,74,28,116,34
1594484996.073532,9,74,28,116,35
1594484996.1474407,9,75,29,117,36
1594484996.221487,9,77,29,120,37
1594484996.2954504,9,79,30,123,38
1594484996.3674262,10,81,31,126,39
1594484996.4414458,10,83,32,129,40
1594484996.5154152,10,83,32,129,41
1594484996.5894756,10,83,32,129,42
1594484996.6633275,10,85,32,132,43
1594484996.7374206,10,87,33,136,44
1594484996.8113792,11,89,34,139,45
1594484996.8833892,11,91,35,143,46
1594484996.9574113,11,91,35,142,47
1594484997.0314713,11,91,35,143,48
1594484997.1063366,11,93,36,146,49
1594484997.1791031,11,96,37,150,50
1594484997.25344,12,98,38,154,51
1594484997.3284354,12,99,38,155,52
1594484997.4034367,12,99,38,155,53
1594484997.4752872,12,101,39,158,54
1594484997.5494366,12,104,40,162,55
1594484997.623446,13,106,41,166,56
1594484997.6953962,13,108,42,169,57
1594484997.7693996,13,108,42,169,58
1594484997.8433762,13,110,42,172,59
1594484997.917457,13,113,44,176,60
1594484997.9893947,14,115,45,181,61
1594484998.0632055,14,116,45,182,62
1594484998.1374316,14,117,45,183,63
