,r,g,b,c,dmx_ch_1
1594484973.559388,0,0,0,0,0
1594484973.634603,4,0,0,4,1
1594484973.7086227,7,0,1,7,2
1594484973.7826014,11,0,1,12,3
1594484973.8566453,15,1,1,17,4
1594484973.929845,21,1,2,22,5
1594484974.004691,27,1,2,29,6
1594484974.0772607,28,1,2,30,7
1594484974.1514535,28,1,2,30,8
1594484974.224208,34,2,3,36,9
1594484974.2972007,39,2,4,42,10
1594484974.371224,39,2,4,42,11
1594484974.44532,41,2,4,44,12
1594484974.519604,47,2,4,50,13
1594484974.5922494,50,2,5,54,14
1594484974.6663446,50,2,5,54,15
1594484974.7397468,53,3,5,57,16
1594484974.8143349,59,3,5,64,17
1594484974.888563,61,3,6,66,18
1594484974.962683,61,3,6,66,19
1594484975.0366235,66,3,6,71,20
1594484975.1099093,72,4,7,78,21
1594484975.1833706,72,4,7,78,22
1594484975.2571847,73,4,7,79,23
1594484975.331322,79,4,7,85,24
1594484975.4042175,83,4,8,90,25
1594484975.4791903,83,4,8,90,26
1594484975.55317,86,4,8,93,27
1594484975.6281633,92,4,8,99,28
1594484975.7021692,94,5,9,102,29
1594484975.776213,94,5,9,102,30
1594484975.8501933,99,5,9,106,31
1594484975.9242449,106,5,10,114,32
1594484975.9982054,106,5,10,114,33
1594484976.0731955,106,5,10,114,34
1594484976.146419,106,5,10,114,35
1594484976.2205718,109,5,10,117,36
1594484976.294546,112,6,10,121,37
1594484976.3685226,116,6,11,125,38
1594484976.441553,117,6,11,126,39
1594484976.5156386,117,6,11,126,40
1594484976.5894198,117,6,11,126,41
1594484976.663622,120,6,11,129,42
1594484976.7377095,124,6,11,133,43
1594484976.810468,128,6,12,138,44
1594484976.8856547,128,6,12,137,45
1594484976.9595487,128,6,12,138,46
1594484977.033598,129,6,12,139,47
1594484977.1066608,133,7,12,143,48
1594484977.1803315,138,7,13,148,49
1594484977.2534955,139,7,13,149,50
1594484977.328609,139,7,13,149,51
1594484977.4015968,140,7,13,151,52
1594484977.4765906,145,7,13,156,53
1594484977.5505054,149,7,14,161,54
1594484977.6239488,150,7,14,161,55
1594484977.6976743,150,7,14,161,56
1594484977.770593,153,7,14,164,57
1594484977.8456104,157,8,14,169,58
1594484977.9195886,161,8,15,173,59
1594484977.9935493,161,8,15,173,60
1594484978.0676196,162,8,15,174,61
1594484978.1415763,167,8,15,180,62
1594484978.215559,172,8,16,186,63
1594484978.2895272,171,8,16,184,64
1594484978.3624325,173,8,16,186,65
1594484978.436541,178,9,16,192,66
1594484978.5105233,183,9,17,197,67
1594484978.5841749,183,9,17,197,68
1594484978.6582632,185,9,17,199,69
1594484978.7332156,190,9,17,205,70
1594484978.806166,194,10,18,209,71
1594484978.8792906,194,10,18,209,72
1594484978.9531937,199,10,18,214,73
1594484979.0261877,205,10,19,220,74
1594484979.1015656,205,10,19,221,75
1594484979.1745434,207,10,19,222,76
1594484979.2482717,214,11,20,230,77
1594484979.3226342,216,11,20,233,78
1594484979.3965433,217,11,20,233,79
1594484979.4704318,223,11,21,240,80
1594484979.5444791,227,11,21,245,81
1594484979.617514,227,11,21,245,82
1594484979.6904714,234,12,22,252,83
1594484979.7642078,238,12,22,257,84
1594484979.8393726,239,12,22,257,85
1594484979.9134297,246,12,23,265,86
1594484979.9864733,250,12,23,269,87
1594484980.060479,252,12,23,271,88
1594484980.1332605,260,13,24,279,89
1594484980.2084706,261,13,24,280,90
1594484980.281545,265,13,24,286,91
1594484980.356317,272,13,25,292,92
1594484980.4295893,272,13,25,293,93
1594484980.5035088,280,14,26,301,94
1594484980.5772848,283,14,26,304,95
1594484980.652438,288,14,26,310,96
1594484980.7255538,294,14,27,316,97
1594484980.7985892,295,15,27,318,98
1594484980.8725655,305,15,28,328,99
1594484980.946951,304,15,28,327,100
1594484981.0203524,313,15,29,337,101
1594484981.0935469,316,16,29,340,102
1594484981.1676643,323,16,30,347,103
1594484981.2403681,327,16,30,352,104
1594484981.3144372,333,16,31,358,105
1594484981.3883312,337,17,31,362,106
1594484981.462315,343,17,32,370,107
1594484981.5354772,349,17,32,375,108
1594484981.6096058,355,17,33,382,109
1594484981.683434,360,18,33,387,110
1594484981.7575324,367,18,34,395,111
1594484981.830501,370,18,34,398,112
1594484981.9045603,380,19,35,409,113
1594484981.9794774,382,19,35,411,114
1594484982.052536,393,19,36,423,115
1594484982.1265662,395,19,36,425,116
1594484982.2005105,404,20,37,435,117
1594484982.2741988,410,20,38,441,118
1594484982.3471324,415,20,38,446,119
1594484982.4202344,426,21,39,458,120
1594484982.4942214,428,21,39,461,121
1594484982.5677793,437,22,40,470,122
1594484982.6414313,444,22,41,478,123
1594484982.7153757,449,22,41,483,124
1594484982.789424,459,23,42,494,125
1594484982.86347,467,23,43,503,126
1594484982.937416,471,23,43,507,127
1594484983.0112407,481,24,44,517,128
1594484983.085432,490,24,45,527,129
1594484983.1585298,496,24,46,533,130
1594484983.233153,502,25,46,541,131
1594484983.3071244,514,25,47,553,132
1594484983.381142,522,26,48,562,133
1594484983.4541578,528,26,49,569,134
1594484983.5272393,534,26,49,575,135
1594484983.601343,546,27,50,588,136
1594484983.6754248,557,27,51,600,137
1594484983.7492933,566,28,52,609,138
1594484983.8225641,573,28,53,616,139
1594484983.8975003,581,29,54,625,140
1594484983.9708953,589,29,54,634,141
1594484984.0454974,601,30,55,647,142
1594484984.120233,612,30,56,658,143
1594484984.1946166,623,31,57,670,144
1594484984.2689009,633,31,58,681,145
1594484984.3433766,643,32,59,692,146
1594484984.4177225,651,32,60,701,147
1594484984.492566,662,33,61,713,148
1594484984.5652115,673,33,62,724,149
1594484984.6385682,684,34,63,736,150
1594484984.7135212,695,34,64,748,151
1594484984.7873025,707,35,65,760,152
1594484984.8604655,717,35,66,772,153
1594484984.9334936,731,36,67,786,154
1594484985.007228,743,37,69,799,155
1594484985.0815322,754,37,70,811,156
1594484985.1555517,765,38,71,823,157
1594484985.2302125,775,38,72,834,158
1594484985.3045278,786,39,73,845,159
1594484985.3774536,801,39,74,862,160
1594484985.4505937,816,40,75,878,161
1594484985.524554,830,41,77,893,162
1594484985.5985038,841,41,78,904,163
1594484985.6714318,851,42,79,916,164
1594484985.7454884,868,43,80,933,165
1594484985.819511,884,44,82,951,166
1594484985.8945515,895,44,83,963,167
1594484985.9674675,911,45,84,980,168
1594484986.0415277,927,46,86,998,169
1594484986.1154928,937,46,87,1008,170
1594484986.188868,956,47,88,1028,171
1594484986.2624347,971,48,90,1044,172
1594484986.3362143,986,49,91,1061,173
1594484986.4104912,1003,49,93,1079,174
1594484986.4844654,1017,50,94,1095,175
1594484986.5570688,1034,51,96,1113,176
1594484986.6314697,1050,52,97,1129,177
1594484986.7055366,1068,53,99,1149,178
1594484986.77856,1087,54,101,1169,179
1594484986.8515162,1101,54,102,1184,180
1594484986.9255097,1121,55,104,1206,181
1594484987.0004656,1138,56,105,1224,182
1594484987.0735302,1155,57,107,1242,183
1594484987.147452,1175,58,109,1265,184
1594484987.221565,1196,59,111,1286,185
1594484987.2942908,1213,60,112,1305,186
1594484987.367438,1230,61,114,1323,187
1594484987.4414456,1250,62,116,1344,188
1594484987.515556,1272,63,118,1368,189
1594484987.5884137,1294,64,120,1392,190
1594484987.6621768,1315,65,122,1414,191
