,r,g,b,c,dmx_ch_1
1594485033.3580883,0,0,0,0,0
1594485033.4331284,0,0,0,0,1
1594485033.5071397,0,0,1,1,2
1594485033.5811033,0,0,1,1,3
1594485033.6551075,0,0,1,2,4
1594485033.7290945,1,0,2,3,5
1594485033.8024826,1,0,2,4,6
1594485033.8750935,1,0,3,5,7
1594485033.948736,1,0,4,6,8
1594485034.0230923,2,0,5,7,9
1594485034.0970674,2,1,5,9,10
1594485034.169961,2,1,6,10,11
1594485034.2441185,2,1,6,10,12
1594485034.3176987,2,1,7,11,13
1594485034.3907273,3,1,8,12,14
1594485034.465077,3,1,9,13,15
1594485034.5391123,3,1,9,14,16
1594485034.613122,3,1,9,14,17
1594485034.685067,3,1,10,16,18
1594485034.7591138,4,1,11,17,19
1594485034.833126,4,1,11,18,20
1594485034.9074442,4,1,12,18,21
1594485034.9800696,4,1,13,19,22
1594485035.0538392,4,1,13,21,23
1594485035.1281388,5,1,14,21,24
1594485035.200104,5,1,14,22,25
1594485035.2750878,5,2,15,23,26
1594485035.3491046,5,2,16,24,27
1594485035.4238157,5,2,17,25,28
1594485035.4959586,5,2,16,25,29
1594485035.5711317,6,2,17,27,30
1594485035.645095,6,2,18,28,31
1594485035.7201324,6,2,19,29,32
1594485035.793201,6,2,19,29,33
1594485035.86714,6,2,19,29,34
1594485035.941067,6,2,20,30,35
1594485036.014042,7,2,20,31,36
1594485036.0880525,7,2,21,32,37
1594485036.1617258,7,2,21,32,38
1594485036.2361238,7,2,22,33,39
1594485036.308093,7,2,22,33,40
1594485036.3821154,7,2,22,33,41
1594485036.456885,7,2,22,34,42
1594485036.5311432,8,2,23,35,43
1594485036.604232,8,2,23,36,44
1594485036.6778765,8,2,24,37,45
1594485036.7530608,8,3,24,37,46
1594485036.828129,8,3,24,37,47
1594485036.9001536,8,3,25,38,48
1594485036.9740062,8,3,25,39,49
1594485037.0480895,9,3,26,40,50
1594485037.1201408,9,3,26,41,51
1594485037.1950784,9,3,27,41,52
1594485037.2691667,9,3,27,41,53
1594485037.3439589,9,3,27,42,54
1594485037.416059,9,3,28,43,55
1594485037.491108,9,3,29,44,56
1594485037.5660698,10,3,29,45,57
1594485037.6400466,10,3,29,45,58
1594485037.7121224,10,3,30,46,59
1594485037.786001,10,3,30,47,60
1594485037.8610492,10,3,31,48,61
1594485037.935832,11,3,32,49,62
1594485038.0100882,11,3,32,49,63
1594485038.0840967,11,3,32,50,64
1594485038.158917,11,4,33,51,65
1594485038.2340856,11,4,34,52,66
1594485038.3080633,11,4,34,53,67
1594485038.3821087,11,4,35,53,68
1594485038.4557252,12,4,35,55,69
1594485038.5282114,12,4,36,56,70
1594485038.602103,12,4,37,57,71
1594485038.677012,12,4,37,57,72
1594485038.750863,13,4,38,58,73
1594485038.823066,13,4,39,60,74
1594485038.8971543,13,4,40,61,75
1594485038.9710255,13,4,40,61,76
1594485039.045163,13,4,41,63,77
1594485039.1177247,14,4,41,64,78
1594485039.1918223,14,4,42,65,79
1594485039.2666752,14,5,43,66,80
1594485039.339065,14,5,44,67,81
1594485039.4130182,15,5,45,69,82
1594485039.4876807,15,5,45,69,83
1594485039.562005,15,5,46,70,84
1594485039.6340318,16,5,47,72,85
1594485039.7088022,16,5,47,73,86
1594485039.7829134,16,5,48,74,87
1594485039.85666,16,5,49,76,88
1594485039.9300816,16,5,50,77,89
1594485040.0039992,17,5,50,77,90
1594485040.0791695,17,5,52,80,91
1594485040.152854,17,6,52,80,92
1594485040.2259154,18,6,53,82,93
1594485040.299857,18,6,54,84,94
1594485040.3748288,18,6,55,84,95
1594485040.4474118,19,6,56,86,96
1594485040.5217814,19,6,57,88,97
1594485040.5957904,19,6,58,89,98
1594485040.6709063,19,6,59,91,99
1594485040.7429712,20,6,60,92,100
1594485040.817695,20,6,61,93,101
1594485040.8928146,21,7,62,96,102
1594485040.9670007,21,7,63,96,103
1594485041.0389833,21,7,64,98,104
1594485041.1140857,22,7,65,100,105
1594485041.1880884,22,7,66,102,106
1594485041.2617254,22,7,68,104,107
1594485041.3360322,23,7,68,105,108
1594485041.4100842,23,7,70,107,109
1594485041.4849238,23,7,70,108,110
1594485041.557975,24,8,72,111,111
1594485041.6320543,24,8,73,112,112
1594485041.7059846,25,8,74,114,113
1594485041.7809677,25,8,75,116,114
1594485041.8534527,25,8,77,118,115
1594485041.926916,26,8,78,120,116
1594485042.0008214,26,8,80,122,117
1594485042.075002,27,9,81,124,118
1594485042.1480742,27,9,82,126,119
1594485042.2218716,28,9,83,128,120
1594485042.29613,28,9,85,130,121
1594485042.3690078,28,9,86,132,122
1594485042.4420156,29,9,88,135,123
1594485042.5160258,29,9,89,137,124
1594485042.5899487,30,10,91,139,125
1594485042.6624107,30,10,92,142,126
1594485042.7369847,31,10,93,144,127
1594485042.8108773,32,10,95,147,128
1594485042.8850114,32,10,97,149,129
1594485042.9580271,33,10,98,151,130
1594485043.0318773,33,11,100,154,131
1594485043.1060452,34,11,102,156,132
1594485043.1789665,34,11,103,159,133
1594485043.2520492,35,11,105,162,134
1594485043.326093,35,11,107,164,135
1594485043.4000819,36,12,109,167,136
1594485043.4733672,37,12,111,170,137
1594485043.5470052,37,12,112,173,138
1594485043.622099,38,12,114,175,139
1594485043.6957471,38,12,116,179,140
1594485043.7689586,39,13,118,182,141
1594485043.8429985,40,13,120,184,142
1594485043.917705,40,13,122,187,143
1594485043.9919786,41,13,124,191,144
1594485044.066017,42,13,126,194,145
1594485044.141011,42,14,128,197,146
1594485044.2150416,43,14,130,200,147
1594485044.2879994,44,14,132,203,148
1594485044.3610804,44,14,135,207,149
1594485044.4347117,45,15,137,210,150
1594485044.509665,46,15,139,214,151
1594485044.583054,47,15,141,217,152
1594485044.6569676,47,15,144,221,153
1594485044.7310553,48,16,146,225,154
1594485044.8050401,49,16,149,228,155
1594485044.878364,50,16,151,232,156
1594485044.9520953,51,16,153,236,157
1594485045.0256827,52,17,156,240,158
1594485045.098946,52,17,159,244,159
1594485045.1728272,53,17,161,248,160
1594485045.2477272,54,18,164,252,161
1594485045.3221056,55,18,167,256,162
1594485045.3950565,56,18,169,260,163
1594485045.4679925,57,18,172,265,164
1594485045.5430765,58,19,175,269,165
1594485045.617121,59,19,178,274,166
1594485045.6909425,60,19,181,278,167
1594485045.763896,61,20,184,283,168
1594485045.8380673,62,20,187,287,169
1594485045.9118075,63,20,190,292,170
1594485045.985004,64,21,193,297,171
1594485046.0590918,65,21,197,302,172
1594485046.1328013,66,21,200,307,173
1594485046.206123,67,22,203,312,174
1594485046.2789893,68,22,206,317,175
1594485046.3530235,69,22,210,322,176
1594485046.426964,70,23,213,328,177
1594485046.500992,71,23,217,333,178
1594485046.5740669,73,24,220,338,179
1594485046.6480064,74,24,224,344,180
1594485046.7209964,75,24,228,349,181
1594485046.7937336,76,25,232,356,182
1594485046.868754,78,25,235,361,183
1594485046.9429884,79,26,240,368,184
1594485047.0159829,80,26,243,373,185
1594485047.0890856,81,26,247,380,186
1594485047.163043,83,27,251,385,187
1594485047.236992,84,27,256,392,188
1594485047.3109927,86,28,260,399,189
1594485047.383959,87,28,264,405,190
1594485047.458834,88,29,268,412,191
1594485047.532009,90,29,273,419,192
1594485047.605324,91,30,277,426,193
1594485047.6799161,93,30,282,433,194
1594485047.7549717,94,31,287,440,195
1594485047.8280325,96,31,292,448,196
1594485047.9017131,98,32,297,455,197
1594485047.9760194,99,32,301,462,198
1594485048.0499897,101,33,306,469,199
1594485048.1229777,103,33,311,478,200
1594485048.1959174,104,34,316,486,201
1594485048.2699952,106,34,322,494,202
1594485048.3436153,108,35,327,502,203
1594485048.417258,109,35,332,510,204
1594485048.4906087,111,36,338,518,205
1594485048.5645857,113,37,344,527,206
1594485048.6377273,115,37,349,536,207
1594485048.7109907,117,38,355,545,208
1594485048.7850037,119,38,361,554,209
1594485048.858914,121,39,367,563,210
1594485048.9330175,123,40,373,572,211
1594485049.0059779,125,40,379,582,212
1594485049.0799646,127,41,386,592,213
1594485049.1530223,129,42,392,602,214
1594485049.226939,131,42,398,611,215
1594485049.3008165,133,43,405,621,216
1594485049.37495,135,44,411,631,217
1594485049.4477248,138,45,419,642,218
1594485049.5209634,140,45,426,653,219
1594485049.595992,142,46,432,663,220
1594485049.6697454,145,47,440,674,221
1594485049.74399,147,48,447,686,222
1594485049.8169348,149,48,454,697,223
1594485049.8909738,152,49,462,709,224
1594485049.9662032,155,50,470,721,225
1594485050.0409498,157,51,477,732,226
1594485050.1137958,160,52,485,745,227
1594485050.1890213,162,53,494,757,228
1594485050.2640014,165,53,502,770,229
1594485050.3389516,168,54,511,783,230
1594485050.4119976,171,55,519,796,231
1594485050.4869566,173,56,527,809,232
1594485050.5599291,176,57,536,822,233
1594485050.6339579,179,58,545,836,234
1594485050.70793,182,59,554,850,235
1594485050.7820055,185,60,564,864,236
1594485050.8549259,188,61,573,879,237
1594485050.928025,191,62,583,893,238
1594485051.0026736,195,63,592,908,239
1594485051.077993,198,64,602,923,240
1594485051.1520007,201,65,612,939,241
1594485051.2263777,205,66,623,955,242
1594485051.3008487,208,67,633,971,243
1594485051.3749502,211,68,644,986,244
1594485051.4489746,215,70,654,1003,245
1594485051.5219612,218,71,665,1019,246
1594485051.596974,222,72,676,1037,247
1594485051.6701963,226,73,688,1054,248
1594485051.7449348,229,74,699,1072,249
1594485051.8179853,233,76,711,1090,250
1594485051.8919475,237,77,723,1108,251
1594485051.9649575,241,78,735,1127,252
1594485052.0383086,245,79,748,1145,253
1594485052.1117234,249,81,760,1164,254
1594485052.1858633,254,82,775,1187,255
